star,rating,discount,price,brand,storage,processor
4.6,1014,8% off,54900,Apple iPhone 16e,128 GB,Apple
4.3,1851,23% off,12999,Infinix Note 50x 5G,128 GB,Mediatek
4.3,1851,23% off,12999,Infinix Note 50x 5G,128 GB,Mediatek
4.5,637,17% off,23117,IQOO Z10 5G,256 GB,Snapdragon
4.2,50094,20% off,9999,MOTOROLA g35 5G,128 GB,Unisoc
4.3,705,33% off,7999,vivo Y19e,64 GB,Unisoc
4.4,6400,15% off,10999,realme C63 5G,128 GB,Mediatek
4.3,42370,15% off,10999,Motorola g45 5G,128 GB,Snapdragon
4.3,7052,23% off,11499,Infinix Note 50x 5G,128 GB,Mediatek
4.3,7052,23% off,11499,Infinix Note 50x 5G,128 GB,Mediatek
4.3,7052,23% off,11499,Infinix Note 50x 5G,128 GB,Mediatek
4.3,5403,21% off,8649,REDMI A4 5G,64 GB,Snapdragon
4.4,7078,10% off,24999,realme 14 Pro 5G,128 GB,Mediatek
3.7,9,40% off,2999,I Kall K333 Pro -,16 GB,Mediatek
4.6,2506,5% off,94900,Apple iPhone 16 Plus,256 GB,Apple
4.4,7078,10% off,24999,realme 14 Pro 5G,128 GB,Mediatek
4.4,7078,10% off,24999,realme 14 Pro 5G,128 GB,Mediatek
4.6,4228,30% off,55999,Samsung Galaxy S24 5G,256 GB,Exynos
4.4,77680,20% off,15999,CMF by Nothing Phone 1,128 GB,Mediatek
4.4,77680,20% off,15999,CMF by Nothing Phone 1,128 GB,Mediatek
4.7,1967,5% off,122900,Apple iPhone 16 Pro,256 GB,Apple
4.6,258574,18% off,64900,Apple iPhone 15,128 GB,Apple
4.7,1967,5% off,122900,Apple iPhone 16 Pro,256 GB,Apple
4.4,3757,52% off,20999,OPPO Reno 12 5G,256 GB,Mediatek
4.3,5403,21% off,9449,REDMI A4 5G,128 GB,Snapdragon
4.2,81498,20% off,15999,Motorola g64 5G,256 GB,Mediatek
4.5,637,19% off,21028,IQOO Z10 5G,128 GB,Snapdragon
4.4,15891,28% off,19999,realme P2 Pro 5G,256 GB,Snapdragon
4.4,170,15% off,25288,IQOO Z10 5G,256 GB,Snapdragon
4.2,1096,25% off,11999,Tecno Pova 6 Neo 5G,128 GB,Mediatek
4.4,7654,19% off,18499,realme P3 5G,256 GB,Snapdragon
4.4,170,15% off,25468,IQOO Z10 5G,256 GB,Snapdragon
4.4,14697,30% off,17999,realme P2 Pro 5G,128 GB,Snapdragon
4.4,6400,15% off,10999,realme C63 5G,128 GB,Mediatek
4.4,20894,11% off,21353,OnePlus Nord CE4 lite 5G,256 GB,Qualcomm
4.6,4228,30% off,55999,Samsung Galaxy S24 5G,256 GB,Exynos
4.3,705,33% off,7999,vivo Y19e,64 GB,Unisoc
4.2,2241,22% off,13499,Samsung Galaxy F16 5G,128 GB,Mediatek
4.6,4228,33% off,49999,Samsung Galaxy S24 5G,128 GB,Exynos
4.4,214,20% off,15075,IQOO Z10X 5G,128 GB,Mediatek
4.4,25680,18% off,17999,CMF by Nothing Phone 1,128 GB,Mediatek
